"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
189,IMM_3,4,1,1,50-59,Female
205,IMM_6,3,1,1,30-39,Female
205,IMM_7,0,1,1,30-39,Female
205,IMM_5,0,1,1,30-39,Female
205,IMM_8,3,1,1,30-39,Female
205,IMM_2,2,1,1,30-39,Female
205,IMM_4,2,1,1,30-39,Female
205,IMM_10,2,1,1,30-39,Female
205,IMM_9,2,1,1,30-39,Female
205,IMM_1,0,1,1,30-39,Female
205,IMM_3,4,1,1,30-39,Female
209,IMM_9,4,1,3,30-39,Female
209,IMM_5,0,1,3,30-39,Female
209,IMM_8,3,1,3,30-39,Female
209,IMM_10,4,1,3,30-39,Female
209,IMM_1,1,1,3,30-39,Female
209,IMM_3,4,1,3,30-39,Female
209,IMM_2,3,1,3,30-39,Female
209,IMM_7,0,1,3,30-39,Female
209,IMM_4,1,1,3,30-39,Female
209,IMM_6,3,1,3,30-39,Female
210,IMM_4,2,1,2,18-29,Female
210,IMM_1,0,1,2,18-29,Female
210,IMM_9,4,1,2,18-29,Female
210,IMM_3,4,1,2,18-29,Female
210,IMM_10,2,1,2,18-29,Female
210,IMM_6,2,1,2,18-29,Female
210,IMM_8,1,1,2,18-29,Female
210,IMM_5,0,1,2,18-29,Female
210,IMM_2,2,1,2,18-29,Female
210,IMM_7,0,1,2,18-29,Female
222,IMM_6,3,1,1,60-69,Female
222,IMM_2,3,1,1,60-69,Female
222,IMM_8,3,1,1,60-69,Female
222,IMM_10,4,1,1,60-69,Female
222,IMM_5,0,1,1,60-69,Female
222,IMM_7,0,1,1,60-69,Female
222,IMM_4,0,1,1,60-69,Female
222,IMM_9,4,1,1,60-69,Female
222,IMM_3,4,1,1,60-69,Female
222,IMM_1,0,1,1,60-69,Female
232,IMM_7,0,1,1,50-59,Female
232,IMM_10,4,1,1,50-59,Female
232,IMM_8,4,1,1,50-59,Female
232,IMM_6,4,1,1,50-59,Female
232,IMM_4,3,1,1,50-59,Female
232,IMM_3,4,1,1,50-59,Female
232,IMM_5,0,1,1,50-59,Female
232,IMM_9,4,1,1,50-59,Female
232,IMM_1,0,1,1,50-59,Female
232,IMM_2,3,1,1,50-59,Female
237,IMM_2,0,1,1,18-29,Female
237,IMM_6,1,1,1,18-29,Female
237,IMM_4,1,1,1,18-29,Female
237,IMM_7,0,1,1,18-29,Female
237,IMM_1,0,1,1,18-29,Female
237,IMM_3,4,1,1,18-29,Female
237,IMM_10,3,1,1,18-29,Female
237,IMM_5,0,1,1,18-29,Female
237,IMM_8,4,1,1,18-29,Female
237,IMM_9,4,1,1,18-29,Female
254,IMM_5,0,1,1,18-29,Female
254,IMM_6,4,1,1,18-29,Female
254,IMM_1,0,1,1,18-29,Female
254,IMM_8,1,1,1,18-29,Female
254,IMM_4,0,1,1,18-29,Female
254,IMM_10,4,1,1,18-29,Female
254,IMM_9,4,1,1,18-29,Female
254,IMM_7,0,1,1,18-29,Female
254,IMM_3,4,1,1,18-29,Female
254,IMM_2,0,1,1,18-29,Female
256,IMM_8,4,1,1,18-29,Female
256,IMM_4,0,1,1,18-29,Female
256,IMM_6,2,1,1,18-29,Female
256,IMM_10,4,1,1,18-29,Female
256,IMM_5,0,1,1,18-29,Female
256,IMM_3,4,1,1,18-29,Female
256,IMM_1,0,1,1,18-29,Female
256,IMM_7,0,1,1,18-29,Female
256,IMM_9,4,1,1,18-29,Female
256,IMM_2,3,1,1,18-29,Female
267,IMM_5,0,1,1,70-79,Female
267,IMM_6,4,1,1,70-79,Female
267,IMM_9,2,1,1,70-79,Female
267,IMM_4,2,1,1,70-79,Female
267,IMM_10,2,1,1,70-79,Female
267,IMM_1,1,1,1,70-79,Female
267,IMM_3,4,1,1,70-79,Female
267,IMM_7,1,1,1,70-79,Female
267,IMM_8,3,1,1,70-79,Female
267,IMM_2,3,1,1,70-79,Female
277,IMM_2,2,1,1,18-29,Male
277,IMM_9,0,1,1,18-29,Male
277,IMM_4,1,1,1,18-29,Male
277,IMM_10,3,1,1,18-29,Male
277,IMM_5,0,1,1,18-29,Male
277,IMM_1,0,1,1,18-29,Male
